filename,Diameter,Pitch,RPM min,RPM max,Blades,Extension
PER3_875x825NN.dat,8.75,8.25,1000,27000,2,NN
PER3_875x85N.dat,8.75,8.5,1000,23000,2,N
PER3_875x875NN.dat,8.75,8.75,1000,27000,2,NN
PER3_875x875W.dat,8.75,8.75,1000,24000,2,W
PER3_875x90NN.dat,8.75,9.0,1000,27000,2,NN
PER3_875x90W.dat,8.75,9.0,1000,22000,2,W
PER3_875x925NN.dat,8.75,9.25,1000,27000,2,NN
PER3_875x925W.dat,8.75,9.25,1000,24000,2,W
PER3_88x85.dat,8.8,8.5,1000,22000,2,[-]
PER3_88x875.dat,8.8,8.75,1000,22000,2,[-]
PER3_88x89.dat,8.8,8.9,1000,21000,2,[-]
PER3_88x90.dat,8.8,9.0,1000,27000,2,[-]
PER3_88x925.dat,8.8,9.25,1000,22000,2,[-]
PER3_88x95.dat,8.8,9.5,1000,22000,2,[-]
PER3_88x975.dat,8.8,9.75,1000,22000,2,[-]
PER3_9x3.dat,9.0,3.0,1000,26000,2,[-]
PER3_9x3N.dat,9.0,3.0,1000,27000,2,N
PER3_9x37SF.dat,9.0,3.7,1000,25000,2,SF
PER3_9x38SF.dat,9.0,3.8,1000,26000,2,SF
PER3_9x39SFR-PC.dat,9.0,3.9,1000,27000,2,SFR
PER3_9x4.dat,9.0,4.0,1000,24000,2,[-]
PER3_9x41SF.dat,9.0,4.1,1000,25000,2,SF
PER3_9x44SFR.dat,9.0,4.4,1000,28000,2,SFR
PER3_9x45E.dat,9.0,4.5,1000,25000,2,E
PER3_9x45MR.dat,9.0,4.5,1000,23000,2,MR
PER3_9x45MRF-RH.dat,9.0,4.5,1000,26000,2,MRF-RH
PER3_9x45R-RH.dat,9.0,4.5,1000,24000,2,R-RH
PER3_9x46SF.dat,9.0,4.6,1000,25000,2,SF
PER3_9x47SF.dat,9.0,4.7,1000,25000,2,SF
PER3_9x5.dat,9.0,5.0,1000,24000,2,[-]
PER3_9x5F.dat,9.0,5.0,1000,27000,2,F
PER3_9x6-4.dat,9.0,6.0,1000,23000,4,[-]
PER3_9x6.dat,9.0,6.0,1000,23000,2,[-]
PER3_9x6E.dat,9.0,6.0,1000,25000,2,E
PER3_9x6N.dat,9.0,6.0,1000,26000,2,N
PER3_9x6SF.dat,9.0,6.0,1000,24000,2,SF
PER3_9x65.dat,9.0,6.5,1000,23000,2,[-]
PER3_9x7.dat,9.0,7.0,1000,24000,2,[-]
PER3_9x75.dat,9.0,7.5,1000,23000,2,[-]
PER3_9x75E.dat,9.0,7.5,1000,23000,2,E
PER3_9x75SF.dat,9.0,7.5,1000,24000,2,SF
PER3_9x8.dat,9.0,8.0,1000,23000,2,[-]
PER3_9x8E-3.dat,9.0,8.0,1000,23000,3,E
PER3_9x85.dat,9.0,8.5,1000,23000,2,[-]
PER3_9x9.dat,9.0,9.0,1000,23000,2,[-]
PER3_9x9E.dat,9.0,9.0,1000,22000,2,E
PER3_9x10.dat,9.0,10.0,1000,24000,2,[-]
PER3_925x60.dat,9.25,6.0,1000,26000,2,[-]
PER3_93x3.dat,9.3,3.0,1000,25000,2,[-]
PER3_95x45.dat,9.5,4.5,1000,26000,2,[-]
PER3_95x5MR.dat,9.5,5.0,1000,23000,2,MR
PER3_95x6.dat,9.5,6.0,1000,24000,2,[-]
PER3_95x7N.dat,9.5,7.0,1000,25000,2,N
PER3_95x75N.dat,9.5,7.5,1000,25000,2,N
PER3_9625x375N.dat,9.625,3.75,1000,25000,2,N
PER3_10x3.dat,10.0,3.0,1000,22000,2,[-]
PER3_10x38MRF-RH.dat,10.0,3.8,1000,23000,2,MRF-RH
PER3_10x38SF.dat,10.0,3.8,1000,23000,2,SF
PER3_10x4.dat,10.0,4.0,1000,21000,2,[-]
PER3_10x45MR.dat,10.0,4.5,1000,22000,2,MR
PER3_10x45MRF-RH.dat,10.0,4.5,1000,24000,2,MRF-RH
PER3_10x46SF.dat,10.0,4.6,1000,23000,2,SF
PER3_10x47SF.dat,10.0,4.7,1000,23000,2,SF
PER3_10x5.dat,10.0,5.0,1000,20000,2,[-]
PER3_10x5E.dat,10.0,5.0,1000,21000,2,E
PER3_10x55MR.dat,10.0,5.5,1000,22000,2,MR
PER3_10x58EP(F2B).dat,10.0,5.8,1000,21000,2,EP(F2B)
PER3_10x6-4.dat,10.0,6.0,1000,22000,4,[-]
PER3_10x6.dat,10.0,6.0,1000,20000,2,[-]
PER3_10x6E.dat,10.0,6.0,1000,21000,2,E
PER3_10x6F.dat,10.0,6.0,1000,20000,2,F
PER3_10x7.dat,10.0,7.0,1000,22000,2,[-]
PER3_10x7E.dat,10.0,7.0,1000,21000,2,E
PER3_10x7SF.dat,10.0,7.0,1000,22000,2,SF
PER3_10x8.dat,10.0,8.0,1000,20000,2,[-]
PER3_10x8E.dat,10.0,8.0,1000,21000,2,E
PER3_10x9.dat,10.0,9.0,1000,19000,2,[-]
PER3_10x10.dat,10.0,10.0,1000,19000,2,[-]
PER3_10x10E.dat,10.0,10.0,1000,19000,2,E
PER3_10x12WE.dat,10.0,12.0,1000,20000,2,WE
PER3_10x14EP.dat,10.0,14.0,1000,20000,2,EP
PER3_105x45.dat,10.5,4.5,1000,23000,2,[-]
PER3_105x6.dat,10.5,6.0,1000,20000,2,[-]
PER3_11x3.dat,11.0,3.0,1000,20000,2,[-]
PER3_11x38SF.dat,11.0,3.8,1000,21000,2,SF
PER3_11x4.dat,11.0,4.0,1000,19000,2,[-]
PER3_11x45EP.dat,11.0,4.5,1000,21000,2,EP
PER3_11x45MR.dat,11.0,4.5,1000,20000,2,MR
PER3_11x46SF.dat,11.0,4.6,1000,21000,2,SF
PER3_11x47SF.dat,11.0,4.7,1000,21000,2,SF
PER3_11x5.dat,11.0,5.0,1000,19000,2,[-]
PER3_11x55E.dat,11.0,5.5,1000,20000,2,E
PER3_11x55MR.dat,11.0,5.5,1000,20000,2,MR
PER3_11x55R-RH.dat,11.0,5.5,1000,20000,2,R-RH
PER3_11x6-4.dat,11.0,6.0,1000,21000,4,[-]
PER3_11x6.dat,11.0,6.0,1000,19000,2,[-]
PER3_11x7.dat,11.0,7.0,1000,18000,2,[-]
PER3_11x7E-3.dat,11.0,7.0,1000,21000,3,E
PER3_11x7E.dat,11.0,7.0,1000,19000,2,E
PER3_11x7SF.dat,11.0,7.0,1000,20000,2,SF
PER3_11x8.dat,11.0,8.0,1000,18000,2,[-]
PER3_11x8E.dat,11.0,8.0,1000,19000,2,E
PER3_11x8F.dat,11.0,8.0,1000,20000,2,F
PER3_11x85E.dat,11.0,8.5,1000,21000,2,E
PER3_11x9-4.dat,11.0,9.0,1000,19000,4,[-]
PER3_11x9.dat,11.0,9.0,1000,18000,2,[-]
PER3_11x10.dat,11.0,10.0,1000,18000,2,[-]
PER3_11x10E.dat,11.0,10.0,1000,18000,2,E
PER3_11x11.dat,11.0,11.0,1000,21000,2,[-]
PER3_11x12.dat,11.0,12.0,1000,20000,2,[-]
PER3_11x12E.dat,11.0,12.0,1000,18000,2,E
PER3_11x12W.dat,11.0,12.0,1000,20000,2,W
PER3_11x13.dat,11.0,13.0,1000,20000,2,[-]
PER3_11x13EP.dat,11.0,13.0,1000,17000,2,EP
PER3_11x14.dat,11.0,14.0,1000,19000,2,[-]
PER3_115x4.dat,11.5,4.0,1000,20000,2,[-]
PER3_115x6.dat,11.5,6.0,1000,18000,2,[-]
PER3_12x38SF.dat,12.0,3.8,1000,19000,2,SF
PER3_12x4.dat,12.0,4.0,1000,18000,2,[-]
PER3_12x45MR.dat,12.0,4.5,1000,19000,2,MR
PER3_12x45MRF-RH.dat,12.0,4.5,1000,20000,2,MRF-RH
PER3_12x47SF.dat,12.0,4.7,1000,19000,2,SF
PER3_12x5.dat,12.0,5.0,1000,18000,2,[-]
PER3_12x55MR.dat,12.0,5.5,1000,18000,2,MR
PER3_12x58SF.dat,12.0,5.8,1000,19000,2,SF
PER3_12x6.dat,12.0,6.0,1000,17000,2,[-]
PER3_12x6E.dat,12.0,6.0,1000,18000,2,E
PER3_12x6EP(F2B).dat,12.0,6.0,1000,19000,2,EP(F2B)
PER3_12x6SF.dat,12.0,6.0,1000,19000,2,SF
PER3_12x7.dat,12.0,7.0,1000,17000,2,[-]
PER3_12x7E-3.dat,12.0,7.0,1000,20000,3,E
PER3_12x8.dat,12.0,8.0,1000,16000,2,[-]
PER3_12x8E.dat,12.0,8.0,1000,18000,2,E
PER3_12x8SF.dat,12.0,8.0,1000,18000,2,SF
PER3_12x85F.dat,12.0,8.5,1000,17000,2,F
PER3_12x9.dat,12.0,9.0,1000,16000,2,[-]
PER3_12x9W.dat,12.0,9.0,1000,19000,2,W
PER3_12x10.dat,12.0,10.0,1000,16000,2,[-]
PER3_12x10E.dat,12.0,10.0,1000,18000,2,E
PER3_12x10W.dat,12.0,10.0,1000,18000,2,W
PER3_12x11.dat,12.0,11.0,1000,16000,2,[-]
PER3_12x12.dat,12.0,12.0,1000,19000,2,[-]
PER3_12x12E.dat,12.0,12.0,1000,18000,2,E
PER3_12x12N.dat,12.0,12.0,1000,17000,2,N
PER3_12x13.dat,12.0,13.0,1000,19000,2,[-]
PER3_12x13N.dat,12.0,13.0,1000,19000,2,N
PER3_12x14.dat,12.0,14.0,1000,19000,2,[-]
PER3_1225x375.dat,12.25,3.75,1000,19000,2,[-]
PER3_125x6.dat,12.5,6.0,1000,18000,2,[-]
PER3_125x10.dat,12.5,10.0,1000,19000,2,[-]
PER3_13x4.dat,13.0,4.0,1000,18000,2,[-]
PER3_13x4E.dat,13.0,4.0,1000,19000,2,E
PER3_13x4W.dat,13.0,4.0,1000,18000,2,W
PER3_13x45EP(F2B).dat,13.0,4.5,1000,18000,2,EP(F2B)
PER3_13x45EP.dat,13.0,4.5,1000,18000,2,EP
PER3_13x45MR.dat,13.0,4.5,1000,18000,2,MR
PER3_13x47SF.dat,13.0,4.7,1000,17000,2,SF
PER3_13x55E.dat,13.0,5.5,1000,18000,2,E
PER3_13x55MR.dat,13.0,5.5,1000,17000,2,MR
PER3_13x55MRF-RH.dat,13.0,5.5,1000,18000,2,MRF-RH
PER3_13x6.dat,13.0,6.0,1000,17000,2,[-]
PER3_13x65E(F2B).dat,13.0,6.5,1000,18000,2,E(F2B)
PER3_13x65E.dat,13.0,6.5,1000,18000,2,E
PER3_13x7.dat,13.0,7.0,1000,17000,2,[-]
PER3_13x7F.dat,13.0,7.0,1000,18000,2,F
PER3_13x8.dat,13.0,8.0,1000,17000,2,[-]
PER3_13x8E.dat,13.0,8.0,1000,18000,2,E
PER3_13x9.dat,13.0,9.0,1000,16000,2,[-]
PER3_13x10.dat,13.0,10.0,1000,16000,2,[-]
PER3_13x10E.dat,13.0,10.0,1000,18000,2,E
PER3_13x10F.dat,13.0,10.0,1000,18000,2,F
PER3_13x11.dat,13.0,11.0,1000,16000,2,[-]
PER3_13x13N.dat,13.0,13.0,1000,18000,2,N
PER3_13x135N.dat,13.0,13.5,1000,18000,2,N
PER3_13x14.dat,13.0,14.0,1000,17000,2,[-]
PER3_135x9.dat,13.5,9.0,1000,17000,2,[-]
PER3_135x10.dat,13.5,10.0,1000,18000,2,[-]
PER3_135x135.dat,13.5,13.5,1000,16000,2,[-]
PER3_135x14.dat,13.5,14.0,1000,17000,2,[-]
PER3_14x4W.dat,14.0,4.0,1000,17000,2,W
PER3_14x47SF.dat,14.0,4.7,1000,16000,2,SF
PER3_14x5N.dat,14.0,5.0,1000,17000,2,N
PER3_14x55MR.dat,14.0,5.5,1000,16000,2,MR
PER3_14x6.dat,14.0,6.0,1000,16000,2,[-]
PER3_14x6E.dat,14.0,6.0,1000,16000,2,E
PER3_14x7.dat,14.0,7.0,1000,16000,2,[-]
PER3_14x7E.dat,14.0,7.0,1000,16000,2,E
PER3_14x8.dat,14.0,8.0,1000,16000,2,[-]
PER3_14x85E.dat,14.0,8.5,1000,16000,2,E
PER3_14x10.dat,14.0,10.0,1000,16000,2,[-]
PER3_14x10E.dat,14.0,10.0,1000,15000,2,E
PER3_14x10F.dat,14.0,10.0,1000,17000,2,F
PER3_14x11.dat,14.0,11.0,1000,16000,2,[-]
PER3_14x12.dat,14.0,12.0,1000,16000,2,[-]
PER3_14x12E.dat,14.0,12.0,1000,14000,2,E
PER3_14x12N.dat,14.0,12.0,1000,17000,2,N
PER3_14x13.dat,14.0,13.0,1000,14000,2,[-]
PER3_14x13N.dat,14.0,13.0,1000,17000,2,N
PER3_14x135.dat,14.0,13.5,1000,14000,2,[-]
PER3_14x14.dat,14.0,14.0,1000,14000,2,[-]
PER3_14x14E.dat,14.0,14.0,1000,15000,2,E
PER3_14x14N.dat,14.0,14.0,1000,16000,2,N
PER3_15x4E.dat,15.0,4.0,1000,16000,2,E
PER3_15x4W.dat,15.0,4.0,1000,16000,2,W
PER3_15x55MR.dat,15.0,5.5,1000,16000,2,MR
PER3_15x6.dat,15.0,6.0,1000,15000,2,[-]
PER3_15x6E.dat,15.0,6.0,1000,16000,2,E
PER3_15x7.dat,15.0,7.0,1000,15000,2,[-]
PER3_15x7E.dat,15.0,7.0,1000,16000,2,E
PER3_15x8.dat,15.0,8.0,1000,15000,2,[-]
PER3_15x8E.dat,15.0,8.0,1000,16000,2,E
PER3_15x10.dat,15.0,10.0,1000,15000,2,[-]
PER3_15x10E.dat,15.0,10.0,1000,16000,2,E
PER3_15x11.dat,15.0,11.0,1000,15000,2,[-]
PER3_15x12.dat,15.0,12.0,1000,15000,2,[-]
PER3_15x12E.dat,15.0,12.0,1000,15000,2,E
PER3_15x135-3.dat,15.0,13.5,1000,14000,3,[-]
PER3_155x12-4.dat,15.5,12.0,1000,15000,4,[-]
PER3_1575x13-3.dat,15.75,13.0,1000,12000,3,[-]
PER3_16x4E.dat,16.0,4.0,1000,15000,2,E
PER3_16x4W.dat,16.0,4.0,1000,15000,2,W
PER3_16x55MR.dat,16.0,5.5,1000,14000,2,MR
PER3_16x6.dat,16.0,6.0,1000,15000,2,[-]
PER3_16x6E.dat,16.0,6.0,1000,15000,2,E
PER3_16x7.dat,16.0,7.0,1000,15000,2,[-]
PER3_16x7E(3D).dat,16.0,7.0,1000,15000,2,E(3D)
PER3_16x8.dat,16.0,8.0,1000,14000,2,[-]
PER3_16x8E.dat,16.0,8.0,1000,15000,2,E
PER3_16x10.dat,16.0,10.0,1000,14000,2,[-]
PER3_16x10E.dat,16.0,10.0,1000,15000,2,E
PER3_16x12.dat,16.0,12.0,1000,13000,2,[-]
PER3_16x12E.dat,16.0,12.0,1000,15000,2,E
PER3_16x13.dat,16.0,13.0,1000,15000,2,[-]
PER3_16x14.dat,16.0,14.0,1000,13000,2,[-]
PER3_16x16.dat,16.0,16.0,1000,13000,2,[-]
PER3_17x4W.dat,17.0,4.0,1000,14000,2,W
PER3_17x6.dat,17.0,6.0,1000,14000,2,[-]
PER3_17x6E.dat,17.0,6.0,1000,14000,2,E
PER3_17x7E.dat,17.0,7.0,1000,14000,2,E
PER3_17x8.dat,17.0,8.0,1000,14000,2,[-]
PER3_17x8E.dat,17.0,8.0,1000,14000,2,E
PER3_17x8N.dat,17.0,8.0,1000,13000,2,N
PER3_17x10.dat,17.0,10.0,1000,12000,2,[-]
PER3_17x10E.dat,17.0,10.0,1000,14000,2,E
PER3_17x10N.dat,17.0,10.0,1000,14000,2,N
PER3_17x10WE.dat,17.0,10.0,1000,14000,2,WE
PER3_17x12E.dat,17.0,12.0,1000,14000,2,E
PER3_17x12W.dat,17.0,12.0,1000,14000,2,W
PER3_17x13.dat,17.0,13.0,1000,13000,2,[-]
PER3_18x55MR.dat,18.0,5.5,1000,13000,2,MR
PER3_18x6W.dat,18.0,6.0,1000,13000,2,W
PER3_18x7WP.dat,18.0,7.0,1000,13000,2,WP
PER3_18x8.dat,18.0,8.0,1000,13000,2,[-]
PER3_18x8E.dat,18.0,8.0,1000,13000,2,E
PER3_18x8W.dat,18.0,8.0,1000,13000,2,W
PER3_18x10.dat,18.0,10.0,1000,13000,2,[-]
PER3_18x10E.dat,18.0,10.0,1000,13000,2,E
PER3_18x12.dat,18.0,12.0,1000,13000,2,[-]
PER3_18x12E.dat,18.0,12.0,1000,13000,2,E
PER3_18x12WE.dat,18.0,12.0,1000,13000,2,WE
PER3_18x14.dat,18.0,14.0,1000,13000,2,[-]
PER3_181x10.dat,18.1,10.0,1000,13000,2,[-]
PER3_181x12.dat,18.1,12.0,1000,13000,2,[-]
PER3_19x8E.dat,19.0,8.0,1000,12000,2,E
PER3_19x8W.dat,19.0,8.0,1000,12000,2,W
PER3_19x10E.dat,19.0,10.0,1000,12000,2,E
PER3_19x11.dat,19.0,11.0,1000,11000,2,[-]
PER3_19x12E.dat,19.0,12.0,1000,12000,2,E
PER3_19x12WE.dat,19.0,12.0,1000,12000,2,WE
PER3_20x8.dat,20.0,8.0,1000,12000,2,[-]
PER3_20x8E.dat,20.0,8.0,1000,12000,2,E
PER3_20x8W.dat,20.0,8.0,1000,11000,2,W
PER3_20x10.dat,20.0,10.0,1000,11000,2,[-]
PER3_20x10E.dat,20.0,10.0,1000,12000,2,E
PER3_20x10PN.dat,20.0,10.0,1000,10000,2,PN
PER3_20x10W.dat,20.0,10.0,1000,11000,2,W
PER3_20x105PN.dat,20.0,10.5,1000,11000,2,PN
PER3_20x11E.dat,20.0,11.0,1000,12000,2,E
PER3_20x12.dat,20.0,12.0,1000,12000,2,[-]
PER3_20x12WE.dat,20.0,12.0,1000,12000,2,WE
PER3_20x13E.dat,20.0,13.0,1000,12000,2,E
PER3_20x14.dat,20.0,14.0,1000,12000,2,[-]
PER3_20x15(WCAR-T6).dat,20.0,15.0,1000,11000,2,(WCAR-T6)
PER3_20x15C.dat,20.0,15.0,1000,11000,2,C
PER3_20x15E.dat,20.0,15.0,1000,12000,2,E
PER3_20x18(F1-GT).dat,20.0,18.0,1000,9000,2,(F1-GT)
PER3_20x225EP(CD).dat,20.0,22.5,1000,11000,2,EP(CD)
PER3_205x10PN.dat,20.5,10.0,1000,11000,2,PN
PER3_205x105PN.dat,20.5,10.5,1000,11000,2,PN
PER3_205x105WPN.dat,20.5,10.5,1000,10000,2,WPN
PER3_205x12WE.dat,20.5,12.0,1000,11000,2,WE
PER3_205x135EPN.dat,20.5,13.5,1000,11000,2,EPN
PER3_205x14E.dat,20.5,14.0,1000,11000,2,E
PER3_205x14EPN.dat,20.5,14.0,1000,11000,2,EPN
PER3_205x205E(CD).dat,20.5,20.5,1000,11000,2,E(CD)
PER3_21x10PN.dat,21.0,10.0,1000,11000,2,PN
PER3_21x10W.dat,21.0,10.0,1000,11000,2,W
PER3_21x105PN.dat,21.0,10.5,1000,10000,2,PN
PER3_21x12WE.dat,21.0,12.0,1000,11000,2,WE
PER3_21x13E.dat,21.0,13.0,1000,11000,2,E
PER3_21x13WE.dat,21.0,13.0,1000,11000,2,WE
PER3_21x135EPN.dat,21.0,13.5,1000,11000,2,EPN
PER3_215x10WPN.dat,21.5,10.0,1000,10000,2,WPN
PER3_215x105PN.dat,21.5,10.5,1000,10000,2,PN
PER3_215x13EPN.dat,21.5,13.0,1000,11000,2,EPN
PER3_22x8.dat,22.0,8.0,1000,11000,2,[-]
PER3_22x10.dat,22.0,10.0,1000,11000,2,[-]
PER3_22x10E.dat,22.0,10.0,1000,11000,2,E
PER3_22x12E.dat,22.0,12.0,1000,11000,2,E
PER3_22x12WE.dat,22.0,12.0,1000,11000,2,WE
PER3_22x13EPN.dat,22.0,13.0,1000,11000,2,EPN
PER3_24x12E.dat,24.0,12.0,1000,10000,2,E
PER3_25x125E.dat,25.0,12.5,1000,9000,2,E
PER3_26x13E.dat,26.0,13.0,1000,9000,2,E
PER3_26x15E.dat,26.0,15.0,1000,9000,2,E
PER3_27x13E.dat,27.0,13.0,1000,9000,2,E
PER3_28x20-4.dat,28.0,20.0,1000,6000,4,[-]
